Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
489,2/12/2021 10:41:59 AM,57.14000,-17.38000,-7.84000,73.00000,82.00000,82.00000,77.00000,67.00000,71.00000,18.92000,22.79000,22.79000,21.50000,59.72473,106.91794,10.64000,79.00000,71.66667
490,2/12/2021 10:41:59 AM,67.37000,-13.54000,-11.26000,81.00000,82.00000,80.00000,87.00000,82.00000,87.00000,22.36000,22.79000,21.93000,22.36000,68.71716,101.36389,14.19000,81.00000,85.33333
491,2/12/2021 10:41:59 AM,57.38000,-6.21000,-4.14000,80.00000,78.00000,77.00000,59.00000,57.00000,60.00000,21.93000,21.07000,20.64000,21.21333,57.71507,96.17684,15.67667,78.33333,58.66667
492,2/12/2021 10:41:59 AM,47.97000,-1.26000,-4.23000,84.00000,83.00000,83.00000,70.00000,68.00000,71.00000,23.65000,23.22000,23.22000,23.36333,47.98654,91.50461,14.16000,83.33333,69.66667
493,2/12/2021 10:41:59 AM,47.58000,7.05000,-2.57000,83.00000,83.00000,82.00000,85.00000,86.00000,87.00000,23.22000,23.22000,22.79000,23.07667,48.09947,81.57172,17.35333,82.66667,86.00000
494,2/12/2021 10:41:59 AM,47.69000,3.83000,-0.02000,87.00000,86.00000,87.00000,66.00000,63.00000,66.00000,24.94000,24.51000,24.94000,24.79667,47.84355,85.40841,17.16667,86.66667,65.00000
495,2/12/2021 10:41:59 AM,55.90000,-8.60000,-5.04000,85.00000,87.00000,85.00000,77.00000,82.00000,79.00000,24.08000,24.94000,24.08000,24.36667,56.55767,98.74616,14.08667,85.66667,79.33333
496,2/12/2021 10:42:00 AM,44.22000,-12.47000,3.54000,81.00000,80.00000,77.00000,81.00000,83.00000,80.00000,22.36000,21.93000,20.64000,21.64333,45.94463,105.74840,11.76333,79.33333,81.33333
497,2/12/2021 10:42:00 AM,56.06000,-3.96000,-2.98000,87.00000,85.00000,83.00000,89.00000,90.00000,91.00000,24.94000,24.08000,23.22000,24.08000,56.19969,94.04058,16.37333,85.00000,90.00000
498,2/12/2021 10:42:00 AM,56.49000,1.12000,-8.37000,79.00000,82.00000,80.00000,85.00000,81.00000,77.00000,21.50000,22.79000,21.93000,22.07333,56.50110,88.86417,16.41333,80.33333,81.00000
499,2/12/2021 10:42:00 AM,56.58000,-2.65000,-6.03000,86.00000,86.00000,87.00000,83.00000,73.00000,79.00000,24.51000,24.51000,24.94000,24.65333,56.64203,92.68156,15.96667,86.33333,78.33333
500,2/12/2021 10:42:00 AM,46.78000,-2.88000,-6.85000,86.00000,84.00000,81.00000,93.00000,86.00000,88.00000,24.51000,23.65000,22.36000,23.50667,46.86857,93.52296,12.35000,83.66667,89.00000
501,2/12/2021 10:42:00 AM,54.21000,-5.30000,-5.11000,85.00000,83.00000,81.00000,75.00000,81.00000,70.00000,24.08000,23.22000,22.36000,23.22000,54.46847,95.58394,14.60000,83.00000,75.33333
502,2/12/2021 10:42:00 AM,55.65000,-0.36000,-3.71000,87.00000,86.00000,85.00000,73.00000,69.00000,69.00000,24.94000,24.51000,24.08000,24.51000,55.65117,90.37064,17.19333,86.00000,70.33333
503,2/12/2021 10:42:00 AM,57.08000,-0.81000,-3.13000,85.00000,85.00000,84.00000,80.00000,80.00000,87.00000,24.08000,24.08000,23.65000,23.93667,57.08575,90.81301,17.71333,84.66667,82.33333
504,2/12/2021 10:42:00 AM,44.11000,-3.58000,-6.64000,79.00000,80.00000,80.00000,82.00000,70.00000,80.00000,21.50000,21.93000,21.93000,21.78667,44.25504,94.64000,11.29667,79.66667,77.33333
505,2/12/2021 10:42:01 AM,50.64000,-8.55000,-3.62000,79.00000,81.00000,80.00000,76.00000,83.00000,82.00000,21.50000,22.36000,21.93000,21.93000,51.35671,99.58337,12.82333,80.00000,80.33333
506,2/12/2021 10:42:01 AM,55.55000,-1.87000,-4.04000,85.00000,86.00000,85.00000,89.00000,91.00000,95.00000,24.08000,24.51000,24.08000,24.22333,55.58146,91.92804,16.54667,85.33333,91.66667
507,2/12/2021 10:42:01 AM,57.22000,-5.58000,-2.59000,81.00000,78.00000,78.00000,89.00000,92.00000,90.00000,22.36000,21.07000,21.07000,21.50000,57.49143,95.56978,16.35000,79.00000,90.33333
508,2/12/2021 10:42:01 AM,55.12000,-6.02000,-3.07000,81.00000,79.00000,80.00000,92.00000,93.00000,94.00000,22.36000,21.50000,21.93000,21.93000,55.44776,96.23293,15.34333,80.00000,93.00000
509,2/12/2021 10:42:01 AM,57.70000,-2.76000,-4.17000,83.00000,83.00000,81.00000,90.00000,90.00000,94.00000,23.22000,23.22000,22.36000,22.93333,57.76597,92.73858,16.92333,82.33333,91.33333
